,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
0,N.A.,11 Simon Road,130,Land,3080000,23620,28-Dec-18,Retail,Resale,19,54,545896,North East Region,Hougang,99999,,103.885903720292,1.36180981036714
1,N.A.,"115,117 Owen Road",315,Land,800000,2541,27-Dec-18,Shop House,Resale,8,21,218923,Central Region,Kallang,2058,,103.852779286283,1.31374584545811
2,THE PLAZA,7500A Beach Road #04 -310,29,Strata,362000,12483,27-Dec-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
3,N.A.,36 Armenian Street #04 -02,149,Strata,3300000,22148,27-Dec-18,Office,Resale,6,17,179934,Central Region,Museum,2106,,103.849641821673,1.29402130654292
4,FAR EAST SHOPPING CENTRE,545 Orchard Road #03 -32,24,Strata,1010000,42083,27-Dec-18,Retail,Resale,9,23,238882,Central Region,Orchard,2870,,103.829984821742,1.30550610776289
5,LUCKY PLAZA,304 Orchard Road #01 -53,26,Strata,3000000,115385,26-Dec-18,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,103.833961913093,1.30450609984441
6,BUKIT PASOH EXTNSN CONSTN AREA,29 Keong Saik Road,143,Land,16480000,115487,26-Dec-18,Shop House,Resale,2,8,89136,Central Region,Outram,99999,,-1,-1
7,ORCHID HOTEL,1 Tras Link #02 -13,16,Strata,502980,31436,26-Dec-18,Retail,Resale,2,7,78867,Central Region,Outram,2106,,-1,-1
8,THE CENTRAL,8 Eu Tong Sen Street #18 -92,82,Strata,2869750,34997,26-Dec-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
9,SULTAN PLAZA,100 Jalan Sultan #02 -44,49,Strata,738416,15070,21-Dec-18,Office,Resale,7,19,199001,Central Region,Kallang,2077,,103.861851786604,1.30294523520252
10,GOLDEN MILE TOWER,6001 Beach Road #02 -63,20,Strata,370000,18500,21-Dec-18,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
11,THE GOLDEN LANDMARK,390 Victoria Street #03 -04,33,Strata,750000,22727,21-Dec-18,Office,Resale,7,18,188061,Central Region,Rochor,2080,,103.857804288546,1.30197196437957
12,GRANDLINK SQUARE,511 Guillemard Road #01 -56,18,Strata,628000,34889,21-Dec-18,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
13,SIM LIM SQUARE,1 Rochor Canal Road #03 -27,38,Strata,860000,22632,21-Dec-18,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
14,PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -40,47,Strata,1000000,21277,21-Dec-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
15,HIGH STREET CENTRE,1 North Bridge Road #18 -03,51,Strata,960750,18838,21-Dec-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
16,SULTAN PLAZA,100 Jalan Sultan #05 -40,33,Strata,532500,16136,20-Dec-18,Retail,Resale,7,19,199001,Central Region,Kallang,2077,,103.861851786604,1.30294523520252
17,HIGH STREET PLAZA,77 High Street #03 -06,72,Strata,1580000,21944,20-Dec-18,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.849358869172,1.29045407468311
18,ORCHARD TOWERS,400 Orchard Road #03 -04,30,Strata,1388000,46267,20-Dec-18,Retail,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
19,THE CENTRAL,8 Eu Tong Sen Street #20 -85,86,Strata,2222400,25842,19-Dec-18,Office,Resale,1,5,59818,Central Region,Singapore River,2100,,103.770859150717,1.33486390029772
20,GOLDEN MILE TOWER,6001 Beach Road #01 -04,22,Strata,478000,21727,19-Dec-18,Office,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
21,TANGLIN SHOPPING CENTRE,19 Tanglin Road #02 -09,36,Strata,1430000,39722,19-Dec-18,Retail,Resale,10,24,247909,Central Region,Orchard,99999,,103.827050588428,1.30640271091405
22,N.A.,298 Changi Road,116,Strata,2000000,17241,18-Dec-18,Shop House,Resale,14,41,419776,East Region,Bedok,99999,,103.906854903979,1.31770184255543
23,REGENCY SUITES,38 Kim Tian Road #06 -09,93,Strata,1609000,17301,17-Dec-18,Office,Resale,3,16,169262,Central Region,Bukit Merah,99999,,103.82912604887,1.28434128785858
24,BUGIS CUBE,470 North Bridge Road #03 -03,12,Strata,633000,52750,17-Dec-18,Retail,Resale,7,18,188735,Central Region,Downtown Core,2826,,103.855635374053,1.29813983280826
25,CAVAN SUITES,11 Cavan Road #01 -02,36,Strata,918000,25500,14-Dec-18,Office,Resale,8,20,209848,Central Region,Kallang,99999,,103.861155186704,1.31099855930999
26,PEOPLE~S PARK CENTRE,101 Upper Cross Street #03 -85,36,Strata,850000,23611,13-Dec-18,Office,Resale,1,5,58357,Central Region,Outram,2069,,-1,-1
27,SERANGOON GARDEN ESTATE,65 Serangoon Garden Way,201,Land,8800088,43695,13-Dec-18,Shop House,Resale,19,55,555961,North East Region,Serangoon,2955,,103.86541939458,1.36346858830773
28,28 RC SUITES,28 Race Course Lane #01 -07,31,Strata,1230000,39677,12-Dec-18,Retail,Resale,8,21,218746,Central Region,Rochor,99999,,103.852952005462,1.30998179213472
29,PS100,100 Peck Seah Street #08 -16,44,Strata,1150000,26136,12-Dec-18,Office,Resale,2,7,79333,Central Region,Outram,2110,,-1,-1
30,SUNTEC CITY,8 Temasek Boulevard #43 -03,192,Strata,6569900,34218,11-Dec-18,Office,Resale,1,3,38988,Central Region,Downtown Core,2088,,103.889067281822,1.32162331576434
31,GEYLANG CONSERVATION AREA,682 Geylang Road,138,Land,3300000,23861,11-Dec-18,Shop House,Resale,14,38,389607,Central Region,Geylang,99999,,103.890533960689,1.31456653702731
32,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #02 -13,15,Strata,565000,37667,10-Dec-18,Office,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
33,BOAT QUAY CONSERVATION AREA,"49,49A,49B South Bridge Road",132,Land,13800000,104784,10-Dec-18,Shop House,Resale,1,5,58681,Central Region,Singapore River,2830,,-1,-1
34,CHINATOWN POINT,"133 New Bridge Road #08 -05,06",134,Strata,2800000,20896,10-Dec-18,Office,Resale,1,5,59413,Central Region,Outram,2079,,-1,-1
35,ROBINSON SQUARE,144 Robinson Road #13 -02,110,Strata,3200000,29091,7-Dec-18,Office,Resale,1,6,68908,Central Region,Downtown Core,99999,,-1,-1
36,ONZE @ TANJONG PAGAR,11 Kee Seng Street #01 -04,40,Strata,2755600,68890,7-Dec-18,Retail,Resale,2,8,89218,Central Region,Outram,99999,,-1,-1
37,SUNSHINE PLAZA,91 Bencoolen Street #01 -30,13,Strata,520000,40000,6-Dec-18,Retail,Resale,7,18,189652,Central Region,Rochor,2096,,103.851046126825,1.30034767173014
38,HIGH STREET CENTRE,1 North Bridge Road #11 -10,73,Strata,1493400,20458,5-Dec-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
39,TEXTILE CENTRE,200 Jalan Sultan #09 -07,82,Strata,838000,10220,5-Dec-18,Office,Resale,7,19,199018,Central Region,Kallang,2069,,103.861630792094,1.30393835645619
40,HIGH STREET PLAZA,77 High Street #03 -17,42,Strata,1040000,24762,5-Dec-18,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.849358869172,1.29045407468311
41,INTERNATIONAL PLAZA,10 Anson Road #17 -12,135,Strata,2485000,18407,5-Dec-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
42,FU LU SHOU COMPLEX,149 Rochor Road #02 -18,40,Strata,1500000,37500,5-Dec-18,Retail,Resale,7,18,188425,Central Region,Rochor,2079,,103.854497441286,1.30151284603753
43,THE PROMENADE@PELIKAT,183 Jalan Pelikat #B2 -10,15,Strata,310999,20733,4-Dec-18,Office,Resale,19,53,537643,North East Region,Hougang,99999,,103.887857183262,1.35530904178245
44,GOLDEN MILE TOWER,6001 Beach Road #01 -38,33,Strata,639000,19364,3-Dec-18,Office,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
45,SOUTHBANK,883 North Bridge Road #03 -05,85,Strata,1398000,16447,3-Dec-18,Office,Resale,7,19,198785,Central Region,Kallang,2105,,103.864297958594,1.30603656312735
46,HIGH STREET CENTRE,1 North Bridge Road #B1 -28,25,Strata,360000,14400,30-Nov-18,Office,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
47,INTERNATIONAL PLAZA,10 Anson Road #10 -02,43,Strata,971990,22604,30-Nov-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
48,INTERNATIONAL PLAZA,10 Anson Road #10 -01,44,Strata,994600,22605,30-Nov-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
49,LITTLE INDIA CONSERVATION AREA,21 Upper Weld Road,160,Land,4550000,28402,29-Nov-18,Shop House,Resale,8,20,207378,Central Region,Rochor,99999,,103.854594824525,1.30553369340149
50,FORTUNE CENTRE,190 Middle Road #04 -26,28,Strata,498000,17786,29-Nov-18,Retail,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
51,FORTUNE CENTRE,190 Middle Road #04 -14,31,Strata,550000,17742,29-Nov-18,Retail,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
52,GUTHRIE BUILDING,150 Changi Road #03 -06,173,Strata,2048389,11840,29-Nov-18,Office,Resale,14,41,419973,Central Region,Geylang,99999,,103.902213584106,1.31666850816222
53,GEYLANG CONSERVATION AREA,739-1 Geylang Road,118,Land,2728000,23060,28-Nov-18,Shop House,Resale,14,38,389650,Central Region,Geylang,99999,,103.890509509998,1.31498249952331
54,GOLDEN MILE TOWER,6001 Beach Road #02 -60,18,Strata,335000,18611,28-Nov-18,Retail,Resale,7,19,199589,Central Region,Kallang,2068,,103.864140679249,1.30189174683935
55,TRIPLEONE SOMERSET,111 Somerset Road #06 -02,48,Strata,1296841,27018,27-Nov-18,Retail,New Sale,9,23,238164,Central Region,Orchard,2074,,103.837317149115,1.30020622455912
56,INTERNATIONAL PLAZA,10 Anson Road #30 -18,15,Strata,322920,21528,27-Nov-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
57,GRANDLINK SQUARE,511 Guillemard Road #01 -59,18,Strata,735000,40833,26-Nov-18,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
58,N.A.,"457,459,461,461A Balestier Road",440,Land,9500000,21591,26-Nov-18,Shop House,Resale,12,32,329835,Central Region,Novena,99999,,103.848119324633,1.32615619485265
59,SIM LIM TOWER,10 Jalan Besar #12 -04,78,Strata,1596000,20462,26-Nov-18,Office,Resale,8,20,208787,Central Region,Rochor,99999,,103.854661432233,1.30377219987196
60,TANGLIN SHOPPING CENTRE,19 Tanglin Road #06 -54,32,Strata,942000,29438,23-Nov-18,Office,Resale,10,24,247909,Central Region,Orchard,99999,,103.827050588428,1.30640271091405
61,SHENTON HOUSE,3 Shenton Way #03 -07,106,Strata,1680000,15849,23-Nov-18,Office,Resale,1,6,68805,Central Region,Downtown Core,2068,,-1,-1
62,BOAT QUAY CONSERVATION AREA,63 Boat Quay,90,Land,10900000,121516,23-Nov-18,Shop House,Resale,1,4,49851,Central Region,Singapore River,2825,,-1,-1
63,GOLDEN WALL CENTRE,"89 ENBLOC Short Street #01 -01,04,05 ETC",2252,Land,276200000,122652,23-Nov-18,Office,Resale,7,18,188216,Central Region,Rochor,99999,,103.851448922737,1.30391369833159
64,HIGH STREET CENTRE,1 North Bridge Road #01 -37,49,Strata,900000,18367,21-Nov-18,Retail,Resale,6,17,179094,Central Region,Downtown Core,2068,,103.84921712944,1.28998869553167
65,THE FLOW,66 East Coast Road #05 -15,72,Strata,1947000,27042,21-Nov-18,Retail,Resale,15,42,428778,Central Region,Marine Parade,99999,,103.904203116447,1.30457354662019
66,PENINSULA PLAZA,"111 North Bridge Road #13 -01,02",276,Strata,5940000,21522,19-Nov-18,Office,Resale,6,17,179098,Central Region,Downtown Core,2828,,103.850803356823,1.29231764784278
67,THE CENTRAL,12 Eu Tong Sen Street #07 -167,59,Strata,1580000,26780,19-Nov-18,Office,Resale,1,5,59819,Central Region,Singapore River,2100,,103.771451483856,1.33491922799918
68,N.A.,31 Keong Saik Road,137,Land,14000000,101892,16-Nov-18,Shop House,Resale,2,8,89138,Central Region,Outram,99999,,-1,-1
69,PAYA LEBAR SQUARE,60 Paya Lebar Road #09 -21,45,Strata,968000,21511,16-Nov-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
70,GRANDLINK SQUARE,511 Guillemard Road #01 -21,12,Strata,420000,35000,15-Nov-18,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
71,THOMSON V TWO,11 Sin Ming Road #01 -09,5,Strata,260000,52000,14-Nov-18,Retail,Resale,20,57,575629,Central Region,Bishan,99999,,103.835547156524,1.35341660995059
72,GOLDHILL PLAZA,1 Goldhill Plaza #02 -17,110,Strata,2040000,18545,14-Nov-18,Retail,Resale,11,30,308899,Central Region,Novena,2971,,103.842889374276,1.31782868139701
73,HEETON PARK,3 Thong Soon Avenue,125,Strata,3000000,24000,14-Nov-18,Retail,Resale,26,78,787432,North Region,Yishun,99999,,103.818788260289,1.39713332777866
74,SOUTHBANK,883 North Bridge Road #05 -01,64,Strata,1050000,16406,13-Nov-18,Office,Resale,7,19,198785,Central Region,Kallang,2105,,103.864297958594,1.30603656312735
75,FORTUNE CENTRE,190 Middle Road #18 -02,100,Strata,1540000,15400,13-Nov-18,Office,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
76,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #03 -67,17,Strata,410000,24118,13-Nov-18,Retail,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.776031354379,1.34316475314327
77,PAYA LEBAR SQUARE,60 Paya Lebar Road #13 -39,48,Strata,1010000,21042,12-Nov-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
78,THE PLAZA,7500A Beach Road #10 -305,40,Strata,485000,12125,12-Nov-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
79,THE GOLDEN LANDMARK,390 Victoria Street #01 -42,35,Strata,690000,19714,12-Nov-18,Retail,Resale,7,18,188061,Central Region,Rochor,2080,,103.857804288546,1.30197196437957
80,PENINSULA PLAZA,111 North Bridge Road #05 -61,37,Strata,850000,22973,9-Nov-18,Retail,Resale,6,17,179098,Central Region,Downtown Core,2828,,103.850803356823,1.29231764784278
81,PENINSULA PLAZA,111 North Bridge Road #02 -46,47,Strata,1265000,26915,8-Nov-18,Office,Resale,6,17,179098,Central Region,Downtown Core,2828,,103.850803356823,1.29231764784278
82,TANJONG PAGAR CONSERVATION AREA,"33,35,37 Tras Street",413,Land,21200000,51282,8-Nov-18,Shop House,Resale,2,7,78973,Central Region,Outram,2093,,103.83983501406,1.38774519983347
83,ORCHARD TOWERS,400 Orchard Road #06 -14,42,Strata,888000,21143,8-Nov-18,Office,Resale,9,23,238875,Central Region,Orchard,99999,,103.82921413868,1.30697796554332
84,HILLVIEW REGENCY,26 Bukit Batok East Avenue 2 #02 -03,13,Strata,360000,27692,7-Nov-18,Retail,Resale,23,65,659920,West Region,Bukit Batok,2099,,103.759354902417,1.35213754685233
85,THE OCTAGON,105 Cecil Street #06 -01,357,Strata,9415350,26374,7-Nov-18,Office,Resale,1,6,69534,Central Region,Downtown Core,99999,,-1,-1
86,KATONG PLAZA,1 Brooke Road #01 -14,23,Strata,700000,30435,7-Nov-18,Retail,Resale,15,42,429979,Central Region,Marine Parade,11979,,103.903890730119,1.30413915139834
87,BOAT QUAY CONSERVATION AREA,"60,60A,60B Boat Quay",90,Land,8500000,94866,7-Nov-18,Shop House,Resale,1,4,49848,Central Region,Singapore River,2825,,-1,-1
88,ONE-NORTH RESIDENCES,7 One-North Gateway #01 -16,52,Strata,1068000,20538,7-Nov-18,Retail,Resale,5,13,138642,Central Region,Queenstown,2104,,103.789907530412,1.30220440131526
89,JALAN BESAR PLAZA,101 Kitchener Road #03 -12,107,Strata,1500000,14019,7-Nov-18,Office,Resale,8,20,208511,Central Region,Kallang,99999,,103.858066663176,1.30865766748106
90,N.A.,"435,435A Sembawang Road",207,Land,3900000,18813,7-Nov-18,Shop House,Resale,27,75,758398,North Region,Mandai,99999,,103.82649680318,1.42827954722617
91,THE PLAZA,7500A Beach Road #10 -304,37,Strata,450000,12162,5-Nov-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
92,PENINSULA PLAZA,111 North Bridge Road #10 -03,110,Strata,2397600,21796,2-Nov-18,Office,Resale,6,17,179098,Central Region,Downtown Core,2828,,103.850803356823,1.29231764784278
93,PAYA LEBAR SQUARE,60 Paya Lebar Road #09 -10,50,Strata,1000000,20000,2-Nov-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
94,ORCHARD PLAZA,150 Orchard Road #04 -47,18,Strata,421000,23389,1-Nov-18,Office,Resale,9,23,238841,Central Region,Orchard,2076,,103.841150144584,1.30125729409969
95,N.A.,802 Upper Serangoon Road,167,Land,1250000,7490,1-Nov-18,Retail,Resale,19,53,534672,North East Region,Hougang,99999,,103.880047972909,1.35510537802347
96,SOUTHBANK,883 North Bridge Road #04 -05,85,Strata,1460000,17176,1-Nov-18,Office,Resale,7,19,198785,Central Region,Kallang,2105,,103.864297958594,1.30603656312735
97,CITY PLAZA,810 Geylang Road #01 -33,17,Strata,680000,40000,30-Oct-18,Office,Resale,14,40,409286,Central Region,Geylang,99999,,103.893472115119,1.31478689719772
98,N.A.,8 Greenwood Avenue,129,Strata,4180000,32403,30-Oct-18,Retail,Resale,11,28,289198,Central Region,Bukit Timah,99999,,103.807170257238,1.3312990316395
99,WOODS SQUARE,12 Woodlands Square #02 -81,52,Strata,1052923,20249,30-Oct-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
100,CROWN CENTRE,557 Bukit Timah Road #02 -19,41,Strata,1415000,34512,30-Oct-18,Retail,Resale,10,26,269694,Central Region,Bukit Timah,99999,,103.811160746426,1.32304664374138
101,BLAIR PLAIN CONSERVATION AREA,27 Kampong Bahru Road,84,Land,4380000,52392,30-Oct-18,Shop House,Resale,3,16,169351,Central Region,Bukit Merah,99999,,103.836490685431,1.27700164616073
102,CT HUB 2,114 Lavender Street #01 -01,23,Strata,545600,23722,30-Oct-18,Retail,Resale,12,33,338729,Central Region,Kallang,2075,,103.86337512307,1.31158791306681
103,SERANGOON GARDEN ESTATE,"3,3A Kensington Park Road",139,Land,5650000,40560,30-Oct-18,Shop House,Resale,19,55,557255,North East Region,Serangoon,2958,,103.866028852699,1.36463793538799
104,THE PLAZA,7500A Beach Road #10 -303,49,Strata,590000,12041,30-Oct-18,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.860828918228,1.29977475328951
105,BLAIR PLAIN CONSERVATION AREA,29 Kampong Bahru Road,86,Land,4300000,50058,30-Oct-18,Shop House,Resale,3,16,169352,Central Region,Bukit Merah,99999,,103.836460902075,1.27697806902313
106,SUNTEC CITY,7 Temasek Boulevard #19 -02,198,Strata,5125000,25884,29-Oct-18,Office,Resale,1,3,38987,Central Region,Downtown Core,2088,,-1,-1
107,N.A.,"372,372A,372B,372C Geylang Road",134,Land,7000000,52083,29-Oct-18,Shop House,Resale,14,38,389383,Central Region,Geylang,99999,,103.88154698452,1.31277022761759
108,INTERNATIONAL PLAZA,10 Anson Road #23 -12,87,Strata,1660000,19080,29-Oct-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
109,VISION EXCHANGE,2 Venture Drive #12 -11,71,Strata,1750000,24648,29-Oct-18,Office,Resale,22,60,608526,West Region,Jurong East,2112,,103.744574631833,1.33015172071474
110,PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -34,47,Strata,970000,20638,26-Oct-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
111,GRANDLINK SQUARE,511 Guillemard Road #01 -26A,18,Strata,660000,36667,26-Oct-18,Retail,Resale,14,39,399849,Central Region,Geylang,99999,,103.891500511283,1.31419129803568
112,TAI PENG GARDENS,"1012,1012A,1012B Upper Serangoon Road",216,Land,7500000,34658,26-Oct-18,Shop House,Resale,19,53,534750,North East Region,Hougang,99999,,103.888079684184,1.36254651681751
113,SOHO LIFE,216 Joo Chiat Road #01 -16,33,Strata,868888,26330,25-Oct-18,Retail,Resale,15,42,427483,Central Region,Geylang,99999,,103.900424708242,1.31196065332503
114,MIDPOINT ORCHARD,220 Orchard Road #01 -03,28,Strata,1500000,53571,25-Oct-18,Retail,Resale,9,23,238852,Central Region,Orchard,99999,,103.838659721146,1.30178753401546
115,N.A.,"3,3A Jalan Pinang",270,Strata,7500000,27778,25-Oct-18,Shop House,Resale,7,19,199135,Central Region,Rochor,99999,,103.858436485919,1.30258710780381
116,INTERNATIONAL PLAZA,"10 Anson Road #23 -01,01A",87,Strata,1740000,20000,25-Oct-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
117,WOODS SQUARE,12 Woodlands Square #04 -87,52,Strata,1111315,21371,23-Oct-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
118,SAMSUNG HUB,3 Church Street #12 -02,291,Strata,10805400,37132,23-Oct-18,Office,Resale,1,4,49483,Central Region,Downtown Core,2826,,-1,-1
119,FAR EAST PLAZA,14 Scotts Road #02 -97,24,Strata,1320000,55000,23-Oct-18,Retail,Resale,9,22,228213,Central Region,Orchard,99999,,103.833792932243,1.30717698071191
120,N.A.,"138,140 Joo Chiat Road",276,Land,6288000,22824,23-Oct-18,Shop House,Resale,15,42,427420,Central Region,Geylang,99999,,103.899296163174,1.31346178701062
121,SIM LIM SQUARE,1 Rochor Canal Road #02 -08,38,Strata,1080000,28421,22-Oct-18,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.853037816787,1.30302427590084
122,THE MODULES,387 Joo Chiat Road #01 -01,50,Strata,753000,15060,22-Oct-18,Office,Resale,15,42,427623,Central Region,Marine Parade,99999,,103.903829896975,1.30796008975425
123,WOODS SQUARE,12 Woodlands Square #05 -64,52,Strata,1105209,21254,22-Oct-18,Office,New Sale,25,73,737715,North Region,Woodlands,2113,,103.784539481204,1.4353056289408
124,N.A.,36 Armenian Street #04 -08,141,Strata,2800000,19858,19-Oct-18,Office,Resale,6,17,179934,Central Region,Museum,2106,,103.849641821673,1.29402130654292
125,TANJONG PAGAR CONSERVATION AREA,"40,41 Duxton Hill",236,Land,24800000,105129,19-Oct-18,Shop House,Resale,2,8,89618,Central Region,Outram,2087,,-1,-1
126,PAYA LEBAR SQUARE,"60 Paya Lebar Road #08 -32,33,34",188,Strata,4351600,23147,17-Oct-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
127,D~LEEDON,19 Leedon Heights #01 -65,127,Strata,2100000,16535,16-Oct-18,Retail,Resale,10,26,266227,Central Region,Bukit Timah,2109,,103.804158270277,1.31558482265762
128,INTERNATIONAL PLAZA,10 Anson Road #16 -19,44,Strata,900000,20455,16-Oct-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
129,UNION BUILDING,171 Tras Street #10 -179,185,Strata,3450000,18649,16-Oct-18,Office,Resale,2,7,79025,Central Region,Downtown Core,99999,,-1,-1
130,TELOK AYER CONSERVATION AREA,10 Stanley Street,133,Land,12500000,94340,16-Oct-18,Shop House,Resale,1,6,68729,Central Region,Outram,99999,,-1,-1
131,HIGH STREET PLAZA,"77 High Street #03 -13,14",84,Strata,1880320,22385,15-Oct-18,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.849358869172,1.29045407468311
132,N.A.,20 Beatty Road,180,Strata,2600000,14444,15-Oct-18,Retail,Resale,8,20,209947,Central Region,Kallang,99999,,103.859325366381,1.31378870962303
133,CENTRIUM SQUARE,320 Serangoon Road #11 -13,94,Strata,2527100,26884,12-Oct-18,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
134,N.A.,246 Serangoon Road,78,Land,6800000,87291,12-Oct-18,Shop House,Resale,8,21,218089,Central Region,Rochor,99999,,103.854202612379,1.30989046876098
135,OUE DOWNTOWN 1 & 2,6 Shenton Way #07 -08ETC,63066,Strata,908000000,14398,12-Oct-18,Office,Resale,1,6,68809,Central Region,Downtown Core,2066,,-1,-1
136,PAYA LEBAR SQUARE,60 Paya Lebar Road #04 -17,126,Strata,2490000,19762,11-Oct-18,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.892580778514,1.31881487007652
137,THE OCTAGON,105 Cecil Street #05 -00,213,Strata,5617850,26375,10-Oct-18,Office,Resale,1,6,69534,Central Region,Downtown Core,99999,,-1,-1
138,PENINSULA PLAZA,"111 North Bridge Road #07 -05,06",58,Strata,1248000,21517,9-Oct-18,Office,Resale,6,17,179098,Central Region,Downtown Core,2828,,103.850803356823,1.29231764784278
139,INTERNATIONAL PLAZA,10 Anson Road #32 -18,15,Strata,448000,29867,9-Oct-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
140,HAVELOCK2,2 Havelock Road #04 -10,57,Strata,1240000,21754,8-Oct-18,Office,Resale,1,5,59763,Central Region,Singapore River,2082,,103.777676620392,1.31832181066544
141,N.A.,"28,28A,28B,28C Hongkong Street",168,Land,9000000,53571,8-Oct-18,Shop House,Resale,1,5,59667,Central Region,Singapore River,2050,,-1,-1
142,FORTUNE CENTRE,190 Middle Road #10 -06,156,Strata,2330000,14936,8-Oct-18,Office,Resale,7,18,188979,Central Region,Rochor,2079,,103.852286627386,1.30042241913977
143,PARKLANE SHOPPING MALL,35 Selegie Road #04 -03,42,Strata,610000,14524,8-Oct-18,Retail,Resale,7,18,188307,Central Region,Rochor,2073,,103.849448612005,1.30064530196808
144,BUGIS CUBE,470 North Bridge Road #02 -01A,17,Strata,1170000,68824,8-Oct-18,Retail,Resale,7,18,188735,Central Region,Downtown Core,2826,,103.855635374053,1.29813983280826
145,N.A.,22 Ann Siang Road,145,Land,15000000,103377,5-Oct-18,Shop House,Resale,1,6,69702,Central Region,Outram,2826,,-1,-1
146,KAP,"9 King Albert Park #01 -42,43",87,Strata,4450000,51149,5-Oct-18,Retail,Resale,21,59,598332,Central Region,Bukit Timah,99999,,103.779313809973,1.33684217543458
147,KAMPONG GLAM CONSERVATION AREA,136 Arab Street,79,Land,3300000,41719,5-Oct-18,Shop House,Resale,7,19,199825,Central Region,Rochor,99999,,103.858174083185,1.30252368430383
148,LITTLE INDIA CONSERVATION AREA,93 Serangoon Road,109,Land,6180000,56906,4-Oct-18,Shop House,Resale,8,21,217998,Central Region,Rochor,2094,,103.851890761992,1.30695834583727
149,INTERNATIONAL PLAZA,10 Anson Road #21 -10A,44,Strata,1000000,22727,4-Oct-18,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.875314006629,1.38718725573372
