,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
3016,HAVELOCK2,2 Havelock Road #01 -15,25,Strata,1587700,63508,29-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.777676620392,1.31832181066544
3017,HAVELOCK2,2 Havelock Road #01 -07,22,Strata,1091000,49591,29-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.851184244325,1.29118501249664
3018,HAVELOCK2,2 Havelock Road #01 -39,18,Strata,1041800,57878,29-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.878828409322,1.35348088326126
3019,THE ADELPHI,1 Coleman Street #05 -14,62,Strata,1417375,22861,28-Aug-14,Office,Resale,6,17,179803,Central Region,Downtown Core,2827,,103.86337512307,1.31158791306681
3020,UPPER SERANGOON SHOPPING CENTRE,756 Upper Serangoon Road #04 -22,19,Strata,428000,22526,28-Aug-14,Office,Resale,19,53,534626,North East Region,Hougang,99999,,103.858170781167,1.31562413141652
3021,CT HUB 2,114 Lavender Street #01 -04,28,Strata,833509,29768,28-Aug-14,Retail,New Sale,12,33,338729,Central Region,Kallang,2075,,103.744574631833,1.33015172071474
3022,N.A.,571 Serangoon Road,117,Land,3700000,31651,28-Aug-14,Shop House,Resale,8,21,218186,Central Region,Kallang,99999,,103.854497441286,1.30151284603753
3023,VISION EXCHANGE,2 Venture Drive #16 -07,48,Strata,1263000,26313,28-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.746025843729,1.40002893292858
3024,FU LU SHOU COMPLEX,149 Rochor Road #02 -14,55,Strata,1680000,30545,28-Aug-14,Retail,Resale,7,18,188425,Central Region,Rochor,2079,,103.854284392734,1.30412970405735
3025,SBF CENTER,160 Robinson Road #28 -09,55,Strata,2050000,37273,28-Aug-14,Office,New Sale,1,6,68914,Central Region,Downtown Core,2110,,103.84166098599,1.43312283983182
3026,N.A.,21 Jalan Besar,128,Land,5200000,40562,26-Aug-14,Shop House,Resale,8,20,208793,Central Region,Rochor,2872,,103.865163649543,1.30275121635194
3027,JUNCTION NINE,18 Yishun Avenue 9 #02 -26,27,Strata,1121360,41532,26-Aug-14,Retail,Sub Sale,27,76,768897,North Region,Yishun,2112,,103.777676620392,1.31832181066544
3028,GOLDEN MILE COMPLEX,5001 Beach Road #03 -45,47,Strata,520000,11064,26-Aug-14,Retail,Resale,7,19,199588,Central Region,Kallang,2068,,103.893472115119,1.31478689719772
3029,HAVELOCK2,2 Havelock Road #01 -47,16,Strata,824000,51500,26-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.862331661034,1.30231590504577
3030,CITY PLAZA,810 Geylang Road #02 -95,23,Strata,820000,35652,26-Aug-14,Retail,Resale,14,40,409286,Central Region,Geylang,99999,,103.777676620392,1.31832181066544
3031,CITY GATE,371 Beach Road #B1 -44,83,Strata,3078750,37093,26-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.778600077834,1.33875930729067
3032,HAVELOCK2,2 Havelock Road #06 -08,99,Strata,2416000,24404,26-Aug-14,Office,New Sale,1,5,59763,Central Region,Singapore River,2082,,-1,-1
3033,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #02 -09A,19,Strata,620000,32632,26-Aug-14,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.851184244325,1.29118501249664
3034,GB BUILDING,"143 Cecil Street #20 -01,02,03,04 ETC",1492,Strata,31688000,21239,25-Aug-14,Office,Resale,1,6,69542,Central Region,Downtown Core,2081,,103.856932443349,1.30907778902532
3035,THE ADELPHI,1 Coleman Street #05 -13,118,Strata,2730500,23140,25-Aug-14,Office,Resale,6,17,179803,Central Region,Downtown Core,2827,,103.856932443349,1.30907778902532
3036,TRIO,11 Sam Leong Road #01 -05,25,Strata,1181000,47240,25-Aug-14,Retail,New Sale,8,20,207903,Central Region,Kallang,99999,,103.857214433401,1.31258887477107
3037,TRIO,11 Sam Leong Road #01 -04,26,Strata,1229000,47269,25-Aug-14,Retail,New Sale,8,20,207903,Central Region,Kallang,99999,,103.744574631833,1.33015172071474
3038,THE CITRON,1 Marne Road #01 -02,49,Strata,1260000,25714,25-Aug-14,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.857214433401,1.31258887477107
3039,VISION EXCHANGE,2 Venture Drive #12 -27,48,Strata,1204000,25083,22-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.850272637854,1.29180789601988
3040,THE CITRON,1 Marne Road #01 -05,49,Strata,1315400,26845,22-Aug-14,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.776031354379,1.34316475314327
3041,PENINSULA SHOPPING COMPLEX,3 Coleman Street #03 -21,31,Strata,850000,27419,22-Aug-14,Retail,Resale,6,17,179804,Central Region,Downtown Core,2827,,103.857804288546,1.30197196437957
3042,BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #05 -16,17,Strata,530000,31176,22-Aug-14,Office,Resale,21,58,588179,Central Region,Bukit Timah,2882,,103.857214433401,1.31258887477107
3043,THE GOLDEN LANDMARK,390 Victoria Street #03 -48,29,Strata,615000,21207,22-Aug-14,Retail,Resale,7,18,188061,Central Region,Rochor,2080,,103.862331661034,1.30231590504577
3044,THE CITRON,1 Marne Road #01 -06,53,Strata,1416600,26728,22-Aug-14,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.841550400672,1.3211465293309
3045,CITY GATE,371 Beach Road #B1 -45,67,Strata,2580000,38507,21-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.857214433401,1.31258887477107
3046,NOVENA REGENCY,275 Thomson Road #01 -36,26,Strata,2250000,86538,21-Aug-14,Retail,New Sale,11,30,307645,Central Region,Novena,99999,,103.744574631833,1.33015172071474
3047,THE CITRON,1 Marne Road #01 -23,40,Strata,891300,22283,21-Aug-14,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.777676620392,1.31832181066544
3048,VISION EXCHANGE,2 Venture Drive #10 -29,48,Strata,1196000,24917,20-Aug-14,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.862331661034,1.30231590504577
3049,HAVELOCK2,2 Havelock Road #02 -28,22,Strata,1052000,47818,20-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.777676620392,1.31832181066544
3050,CITY GATE,371 Beach Road #02 -12,48,Strata,2198250,45797,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.857214433401,1.31258887477107
3051,HAVELOCK2,2 Havelock Road #01 -18,19,Strata,1127000,59316,20-Aug-14,Retail,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.862331661034,1.30231590504577
3052,THE CITRON,1 Marne Road #01 -33,47,Strata,1049500,22330,20-Aug-14,Retail,New Sale,8,20,208380,Central Region,Kallang,99999,,103.862331661034,1.30231590504577
3053,CITY GATE,371 Beach Road #02 -13,48,Strata,2198250,45797,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.777676620392,1.31832181066544
3054,CITY GATE,371 Beach Road #01 -46,49,Strata,2368500,48337,20-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3055,HAVELOCK2,2 Havelock Road #07 -24,33,Strata,886080,26851,20-Aug-14,Office,New Sale,1,5,59763,Central Region,Singapore River,2082,,103.862331661034,1.30231590504577
