Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE CENTRAL,8 Eu Tong Sen Street #11 -89,135,Strata,3632500,26907,2500,8-Sep-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
CITY GATE,371 Beach Road #02 -24,38,Strata,1541000,40553,3767,8-Sep-17,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
N.A.,5A Jalan Pinang,111,Strata,1800000,16216,1507,7-Sep-17,Shop House,Freehold,Resale,7,19,199137,Central Region,Rochor
N.A.,5 Jalan Pinang,96,Strata,2550000,26563,2468,7-Sep-17,Shop House,Freehold,Resale,7,19,199137,Central Region,Rochor
HEXACUBE,160 Changi Road #01 -04,60,Strata,2041700,34028,3161,7-Sep-17,Retail,Freehold,New Sale,14,41,419728,Central Region,Geylang
LITTLE INDIA CONSERVATION AREA,10 Madras Street,152,Land,3500000,23041,2141,7-Sep-17,Shop House,99 Yrs From 04/07/1994,Resale,8,20,208410,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan #01 -32,86,Strata,1080000,12558,1167,6-Sep-17,Retail,99 Yrs From 02/06/1970,Resale,7,19,199018,Central Region,Kallang
ORCHARD PLAZA,150 Orchard Road #03 -73,19,Strata,500000,26316,2445,6-Sep-17,Retail,99 Yrs From 02/06/1977,Resale,9,23,238841,Central Region,Orchard
PS100,100 Peck Seah Street #08 -17,44,Strata,1188000,27000,2508,5-Sep-17,Office,99 Yrs From 13/04/2011,Sub Sale,2,7,79333,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road #06 -61,32,Strata,1794000,56063,5208,5-Sep-17,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
THE CENTRAL,8 Eu Tong Sen Street #13 -99,82,Strata,2100000,25610,2379,4-Sep-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
SERANGOON GARDEN ESTATE,"7,7A Lichfield Road",196,Land,3500000,17875,1661,31-Aug-17,Shop House,999 Yrs From 01/01/1953,Resale,19,55,556827,North East Region,Serangoon
PAYA LEBAR SQUARE,60 Paya Lebar Road #11 -55,50,Strata,1210500,24210,2249,31-Aug-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
SIM LIM SQUARE,1 Rochor Canal Road #01 -32,22,Strata,1100000,50000,4645,31-Aug-17,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
PAYA LEBAR SQUARE,60 Paya Lebar Road #11 -56,50,Strata,1210500,24210,2249,31-Aug-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
INTERNATIONAL PLAZA,10 Anson Road #09 -15,43,Strata,880000,20465,1901,31-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
THE OCTAGON,105 Cecil Street #03 -01,121,Strata,2871000,23727,2204,30-Aug-17,Office,Freehold,Resale,1,6,69534,Central Region,Downtown Core
VISION EXCHANGE,2 Venture Drive #13 -26,48,Strata,1252000,26083,2423,30-Aug-17,Office,99 Yrs From 10/06/2013,Resale,22,60,608526,West Region,Jurong East
SECOND AVENUE JUNCTION,733 Bukit Timah Road #01 -06,82,Strata,2380000,29024,2696,30-Aug-17,Retail,Freehold,Resale,10,26,269748,Central Region,Bukit Timah
N.A.,"24,24A Lorong 11 Geylang",147,Land,2400000,16315,1516,30-Aug-17,Shop House,Freehold,Resale,14,38,388716,Central Region,Geylang
VIVA VISTA,3 South Buona Vista Road #01 -22,15,Strata,319000,21267,1976,29-Aug-17,Retail,Freehold,Resale,5,11,118136,Central Region,Queenstown
KATONG PLAZA,1 Brooke Road #02 -02,28,Strata,790000,28214,2621,29-Aug-17,Retail,Freehold,Resale,15,42,429979,Central Region,Marine Parade
N.A.,515 Serangoon Road,161,Land,4400000,27329,2539,29-Aug-17,Shop House,Freehold,Resale,8,21,218155,Central Region,Kallang
THE FLOW,66 East Coast Road #05 -11,72,Strata,1700000,23611,2194,28-Aug-17,Retail,Freehold,New Sale,15,42,428778,Central Region,Marine Parade
FU LU SHOU COMPLEX,149 Rochor Road #03 -06,46,Strata,955000,20761,1929,28-Aug-17,Retail,99 Yrs From 16/06/1980,Resale,7,18,188425,Central Region,Rochor
KAMPONG GLAM CONSERVATION AREA,780 North Bridge Road,117,Land,4880000,41674,3872,28-Aug-17,Shop House,Freehold,Resale,7,19,198748,Central Region,Rochor
SUITES @ KOVAN,981 Upper Serangoon Road #01 -01,54,Strata,2300000,42593,3957,28-Aug-17,Retail,Freehold,Resale,19,53,534729,North East Region,Hougang
SPRINGLEAF TOWER,3 Anson Road #21 -01,937,Strata,25881068,27621,2566,27-Aug-17,Office,99 Yrs From 01/10/1996,Resale,2,7,79909,Central Region,Downtown Core
SPRINGLEAF TOWER,3 Anson Road #22 -01,998,Strata,25114796,25165,2338,27-Aug-17,Office,99 Yrs From 01/10/1996,Resale,2,7,79909,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #23 -05,44,Strata,880000,20000,1858,25-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
ROYAL SQUARE AT NOVENA,103 Irrawaddy Road #02 -20,57,Strata,3680000,64561,5998,25-Aug-17,Retail,99 Yrs From 06/03/2013,New Sale,12,32,329566,Central Region,Novena
CONCORDE SHOPPING CENTRE,317 Outram Road #B1 -18,26,Strata,360000,13846,1286,24-Aug-17,Retail,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
ORCHARD TOWERS,400 Orchard Road #21 -07,140,Strata,2712600,19376,1800,24-Aug-17,Office,Freehold,Resale,9,23,238875,Central Region,Orchard
TEXTILE CENTRE,200 Jalan Sultan #01 -34,83,Strata,1080000,13012,1209,24-Aug-17,Retail,99 Yrs From 02/06/1970,Resale,7,19,199018,Central Region,Kallang
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B2 -07A,41,Strata,1420000,34634,3218,24-Aug-17,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
N.A.,81 Sims Avenue,139,Land,2250000,16210,1506,22-Aug-17,Shop House,Freehold,Resale,14,38,387421,Central Region,Geylang
GOLDEN MILE TOWER,6001 Beach Road #B1 -83,16,Strata,260000,16250,1510,21-Aug-17,Office,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
WOODS SQUARE,12 Woodlands Square #06 -72,52,Strata,1055750,20303,1886,21-Aug-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
PEOPLE~S PARK CENTRE,101 Upper Cross Street #06 -05,79,Strata,900000,11392,1058,21-Aug-17,Office,99 Yrs From 02/06/1970,Resale,1,5,58357,Central Region,Outram
PAYA LEBAR SQUARE,60 Paya Lebar Road #07 -10,50,Strata,1070620,21412,1989,21-Aug-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,60 Paya Lebar Road #07 -42,47,Strata,1050000,22340,2075,18-Aug-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PEK CHUAN BUILDING,116 Lavender Street #03 -04,122,Strata,1100000,9016,838,18-Aug-17,Office,99 Yrs From 02/05/1978,Resale,12,33,338730,Central Region,Kallang
FUYUEN COURT,520 Sims Avenue #02 -01,144,Strata,950000,6597,613,16-Aug-17,Office,Freehold,Resale,14,38,387580,Central Region,Geylang
BUKIT PASOH CONSERVATION AREA,"13,13A,13B Teo Hong Road",161,Land,8928000,55488,5155,15-Aug-17,Shop House,Freehold,Resale,2,8,88327,Central Region,Outram
INTERNATIONAL PLAZA,10 Anson Road #22 -14,219,Strata,3900000,17808,1654,15-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
ELITE BUILDING,20 Aljunied Road #06 -02 ETC,3447,Strata,52000000,15086,1401,15-Aug-17,Retail,Freehold,Resale,14,38,389805,Central Region,Geylang
INTERNATIONAL PLAZA,10 Anson Road #15 -19,219,Strata,3500000,15982,1485,15-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
THE PROMENADE@PELIKAT,183 Jalan Pelikat #B1 -130,18,Strata,570000,31667,2942,14-Aug-17,Retail,Freehold,Resale,19,53,537643,North East Region,Hougang
N.A.,777 North Bridge Road,140,Land,4050000,28929,2688,14-Aug-17,Shop House,Freehold,Resale,7,19,198745,Central Region,Rochor
THE CENTRAL,8 Eu Tong Sen Street #18 -84,86,Strata,2168000,25209,2342,11-Aug-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -09,51,Strata,1060000,20784,1931,10-Aug-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
HIGH STREET CENTRE,1 North Bridge Road #16 -07,51,Strata,900000,17647,1639,10-Aug-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
CITY GATE,371 Beach Road #B1 -20,53,Strata,1663000,31377,2915,10-Aug-17,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
INTERNATIONAL PLAZA,10 Anson Road #20 -01,44,Strata,868000,19727,1833,10-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
CITY GATE,371 Beach Road #02 -39,45,Strata,2046000,45467,4224,8-Aug-17,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road #02 -35,45,Strata,630000,14000,1301,8-Aug-17,Retail,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
CITY PLAZA,810 Geylang Road #03 -80,29,Strata,910000,31379,2915,8-Aug-17,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
ICON@CHANGI,228 Changi Road #05 -01,41,Strata,630000,15366,1428,8-Aug-17,Office,Freehold,Resale,14,41,419741,Central Region,Geylang
PARKLANE SHOPPING MALL,35 Selegie Road #05 -11,41,Strata,520000,12683,1178,7-Aug-17,Retail,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
GIFFARD MANSIONS,424 Balestier Road #02 -11,33,Strata,450000,13636,1267,4-Aug-17,Office,Freehold,Resale,12,32,329810,Central Region,Novena
INTERNATIONAL PLAZA,10 Anson Road #23 -04,87,Strata,1720000,19770,1837,4-Aug-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
PARKLANE SHOPPING MALL,35 Selegie Road #10 -17,54,Strata,464800,8607,800,3-Aug-17,Office,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
TRIPLEONE SOMERSET,111 Somerset Road #06 -09,95,Strata,2628000,27663,2570,3-Aug-17,Office,99 Yrs From 19/02/1975,New Sale,9,23,238164,Central Region,Orchard
THE ADELPHI,1 Coleman Street #04 -16,24,Strata,635000,26458,2458,3-Aug-17,Retail,999 Yrs From 12/05/1828,Resale,6,17,179803,Central Region,Downtown Core
MAXWELL HOUSE,20 Maxwell Road #09 -01,350,Strata,3780000,10800,1003,2-Aug-17,Office,99 Yrs From 02/06/1969,Resale,1,6,69113,Central Region,Outram
PEOPLE~S PARK CENTRE,101A Upper Cross Street #11 -14,55,Strata,728160,13239,1230,2-Aug-17,Office,99 Yrs From 02/06/1970,Resale,1,5,58358,Central Region,Outram
PEOPLE~S PARK CENTRE,101A Upper Cross Street #11 -15,273,Strata,3594970,13168,1223,2-Aug-17,Office,99 Yrs From 02/06/1970,Resale,1,5,58358,Central Region,Outram
PEOPLE~S PARK CENTRE,101A Upper Cross Street #11 -19,49,Strata,648210,13229,1229,2-Aug-17,Office,99 Yrs From 02/06/1970,Resale,1,5,58358,Central Region,Outram
LITTLE INDIA CONSERVATION AREA,"97,97A Serangoon Road",112,Land,5933933,52887,4913,1-Aug-17,Shop House,99 Yrs From 07/03/1995,Resale,8,21,218002,Central Region,Rochor
SOHO LIFE,216 Joo Chiat Road #05 -25,32,Strata,470000,14688,1365,1-Aug-17,Office,Freehold,Resale,15,42,427483,Central Region,Geylang
CITY PLAZA,810 Geylang Road #03 -36,22,Strata,750000,34091,3167,31-Jul-17,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
INTERNATIONAL PLAZA,10 Anson Road #20 -03,44,Strata,880000,20000,1858,31-Jul-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
SUITES AT BUKIT TIMAH,68 Jalan Jurong Kechil #01 -01,55,Strata,2380000,43273,4020,31-Jul-17,Retail,Freehold,Resale,21,59,596180,Central Region,Bukit Timah
TELOK MANSION,237 Telok Kurau Road,90,Strata,2370000,26333,2446,31-Jul-17,Retail,Freehold,Resale,15,42,423840,East Region,Bedok
N.A.,"19,19A Lorong 40 Geylang",127,Land,2100000,16548,1537,28-Jul-17,Shop House,Freehold,Resale,14,39,398065,Central Region,Geylang
HIGH STREET PLAZA,77 High Street #05 -03,57,Strata,1190000,20877,1940,28-Jul-17,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #09 -14,44,Strata,855000,19432,1805,27-Jul-17,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HIGH STREET CENTRE,1 North Bridge Road #09 -03,51,Strata,870000,17059,1585,26-Jul-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
PENINSULA SHOPPING COMPLEX,3 Coleman Street #02 -02,29,Strata,666000,22966,2134,25-Jul-17,Retail,999 Yrs From 17/03/1828,Resale,6,17,179804,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,17 Stanley Street,150,Land,12650000,84446,7845,25-Jul-17,Shop House,Freehold,Resale,1,6,68736,Central Region,Outram
MIRAGE TOWER,80 Kim Seng Road #01 -08,109,Strata,2350000,21560,2003,25-Jul-17,Retail,Freehold,Resale,9,23,239426,Central Region,Singapore River
SUNTEC CITY,9 Temasek Boulevard #32 -01,419,Strata,11500000,27446,2550,24-Jul-17,Office,99 Yrs From 01/03/1989,Resale,1,3,38989,Central Region,Downtown Core
KRETA AYER CONSERVATION AREA,50 Temple Street,121,Land,8200000,67825,6301,24-Jul-17,Shop House,Freehold,Resale,1,5,58595,Central Region,Outram
MACPHERSON MALL,"401 Macpherson Road #01 -24,25",75,Strata,4342749,57903,5379,24-Jul-17,Retail,Freehold,Resale,13,36,368125,Central Region,Toa Payoh
THE ADELPHI,1 Coleman Street #04 -34,29,Strata,818000,28207,2620,24-Jul-17,Retail,999 Yrs From 12/05/1828,Resale,6,17,179803,Central Region,Downtown Core
MANHATTAN HOUSE,151 Chin Swee Road #10 -12,50,Strata,520000,10400,966,21-Jul-17,Office,99 Yrs From 15/10/1969,Resale,3,16,169876,Central Region,Outram
CITY PLAZA,810 Geylang Road #03 -31,19,Strata,645000,33947,3154,21-Jul-17,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
HAVELOCK2,2 Havelock Road #04 -02,74,Strata,1650000,22297,2071,21-Jul-17,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
HAVELOCK2,2 Havelock Road #04 -21,46,Strata,1030000,22391,2080,21-Jul-17,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
N.A.,"136,136A Tembeling Road",159,Land,2530000,15952,1482,21-Jul-17,Shop House,Freehold,Resale,15,42,423645,Central Region,Geylang
HAVELOCK2,2 Havelock Road #04 -01,148,Strata,3275000,22128,2056,21-Jul-17,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
CHINATOWN POINT,133 New Bridge Road #11 -05,67,Strata,1400000,20896,1941,21-Jul-17,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
HAVELOCK2,2 Havelock Road #04 -03,40,Strata,900000,22500,2090,21-Jul-17,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
GRANDLINK SQUARE,511 Guillemard Road #01 -54,18,Strata,615000,34167,3174,21-Jul-17,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
HIGH STREET CENTRE,1 North Bridge Road #02 -39,45,Strata,480000,10667,991,20-Jul-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
SERANGOON GARDEN ESTATE,"5,5A Kensington Park Road",139,Land,4950000,35535,3301,20-Jul-17,Shop House,999 Yrs From 01/01/1959,Resale,19,55,557257,North East Region,Serangoon
EASTGATE,46 East Coast Road #06 -05,111,Strata,1800000,16216,1507,19-Jul-17,Office,Freehold,Resale,15,42,428766,Central Region,Marine Parade
BUKIT PASOH EXTNSN CONSTN AREA,"18,18A,18B Teck Lim Road",134,Land,13000000,96870,8999,19-Jul-17,Shop House,Freehold,Resale,2,8,88390,Central Region,Outram
HIGH STREET CENTRE,1 North Bridge Road #18 -01,73,Strata,1159350,15882,1475,19-Jul-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #02 -14,47,Strata,930000,19787,1838,19-Jul-17,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
N.A.,172 Serangoon Road,94,Land,6300000,67236,6246,19-Jul-17,Shop House,Freehold,Resale,8,21,218053,Central Region,Rochor
N.A.,471 Geylang Road,136,Land,2850000,20894,1941,18-Jul-17,Shop House,Freehold,Resale,14,38,389430,Central Region,Geylang
CITY GATE,371 Beach Road #B1 -67,40,Strata,1780000,44500,4134,18-Jul-17,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
WOODS SQUARE,12 Woodlands Square #06 -71,52,Strata,1020100,19617,1822,17-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
CITY PLAZA,810 Geylang Road #03 -91,23,Strata,730000,31739,2949,14-Jul-17,Retail,Freehold,Resale,14,40,409286,Central Region,Geylang
ORCHARD TOWERS,400 Orchard Road #03 -09,31,Strata,1050000,33871,3147,14-Jul-17,Retail,Freehold,Resale,9,23,238875,Central Region,Orchard
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -26,48,Strata,1032000,21500,1997,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
N.A.,"226,226A Upper Thomson Road",182,Land,4000000,21990,2043,13-Jul-17,Shop House,Freehold,Resale,20,57,574358,Central Region,Bishan
THE ADELPHI,1 Coleman Street #B1 -09,32,Strata,925000,28906,2685,13-Jul-17,Retail,999 Yrs From 12/05/1828,Resale,6,17,179803,Central Region,Downtown Core
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -20,117,Strata,2518000,21521,1999,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -24,45,Strata,968000,21511,1998,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -21,45,Strata,968000,21511,1998,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #11 -01,156,Strata,2118690,13581,1262,13-Jul-17,Office,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
THE CENTRAL,8 Eu Tong Sen Street #14 -90,112,Strata,3111480,27781,2581,13-Jul-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -23,89,Strata,1916000,21528,2000,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -22,45,Strata,968000,21511,1998,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -25,45,Strata,968000,21511,1998,13-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
THE CITRON,1 Marne Road #01 -31,47,Strata,1000000,21277,1977,12-Jul-17,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
BURLINGTON SQUARE,175 Bencoolen Street #01 -15,25,Strata,753200,30128,2799,11-Jul-17,Retail,99 Yrs From 10/06/1996,Resale,7,18,189649,Central Region,Rochor
THONG TECK BUILDING,15 Scotts Road #05 -10,62,Strata,1868636,30139,2800,11-Jul-17,Office,Freehold,Resale,9,22,228218,Central Region,Orchard
GOLDEN MILE COMPLEX,5001 Beach Road #03 -12,24,Strata,255000,10625,987,10-Jul-17,Retail,99 Yrs From 04/08/1969,Resale,7,19,199588,Central Region,Kallang
TELOK AYER CONSERVATION AREA,52 Amoy Street,88,Land,7100000,80317,7462,7-Jul-17,Shop House,999 Yrs From 21/06/1833,Resale,1,6,69878,Central Region,Outram
PAYA LEBAR SQUARE,60 Paya Lebar Road #09 -20,117,Strata,2398000,20496,1904,6-Jul-17,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
WOODS SQUARE,12 Woodlands Square #05 -77,51,Strata,992900,19469,1809,6-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
SULTAN PLAZA,100 Jalan Sultan #04 -19,31,Strata,420000,13548,1259,5-Jul-17,Retail,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
THE CITRON,1 Marne Road #01 -17,44,Strata,968000,22000,2044,5-Jul-17,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
PENINSULA PLAZA,111 North Bridge Road #04 -03,31,Strata,710000,22903,2128,5-Jul-17,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
THE RIVERSIDE PIAZZA,11 Keng Cheow Street #01 -07,61,Strata,1149750,18848,1751,5-Jul-17,Retail,99 Yrs From 02/10/1992,Resale,1,5,59608,Central Region,Singapore River
HIGH STREET CENTRE,1 North Bridge Road #22 -08,51,Strata,814000,15961,1483,4-Jul-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
CHINATOWN HOTEL,"12,14,16 Teck Lim Road",386,Land,31000000,80353,7465,3-Jul-17,Shop House,Freehold,Resale,2,8,88387,Central Region,Outram
THE CENTRAL,12 Eu Tong Sen Street #04 -167,59,Strata,1300000,22034,2047,3-Jul-17,Office,99 Yrs From 02/01/2001,Resale,1,5,59819,Central Region,Singapore River
WOODS SQUARE,12 Woodlands Square #06 -82,70,Strata,1388031,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
N.A.,725 North Bridge Road,109,Land,4700000,43159,4010,3-Jul-17,Shop House,Freehold,Resale,7,19,198693,Central Region,Rochor
WOODS SQUARE,12 Woodlands Square #06 -81,97,Strata,1954023,20145,1871,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
WOODS SQUARE,12 Woodlands Square #06 -84,52,Strata,1031106,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
WOODS SQUARE,12 Woodlands Square #06 -88,60,Strata,1189741,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
WOODS SQUARE,12 Woodlands Square #06 -83,52,Strata,1031106,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
HIGH STREET CENTRE,1 North Bridge Road #13 -05,102,Strata,1821020,17853,1659,3-Jul-17,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
WOODS SQUARE,12 Woodlands Square #06 -85,52,Strata,1031106,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
WOODS SQUARE,12 Woodlands Square #06 -87,52,Strata,1031106,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
WOODS SQUARE,12 Woodlands Square #06 -86,52,Strata,1031106,19829,1842,3-Jul-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
THE PLAZA,7500A Beach Road #11 -310,37,Strata,623000,16838,1564,30-Jun-17,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
TRIPLEONE SOMERSET,"111 Somerset Road #07 -04,05,06,07",445,Strata,12496888,28083,2609,30-Jun-17,Office,99 Yrs From 19/02/1975,New Sale,9,23,238164,Central Region,Orchard
N.A.,89 Amoy Street,265,Land,21000000,79215,7359,30-Jun-17,Shop House,999 Yrs From 01/10/1827,Resale,1,6,69908,Central Region,Outram
SIM LIM TOWER,10 Jalan Besar #03 -23,33,Strata,745888,22603,2100,29-Jun-17,Retail,Freehold,Resale,8,20,208787,Central Region,Rochor
THE CITRON,1 Marne Road #01 -32,47,Strata,1000000,21277,1977,29-Jun-17,Retail,Freehold,New Sale,8,20,208380,Central Region,Kallang
PENINSULA PLAZA,111 North Bridge Road #05 -58,37,Strata,805000,21757,2021,29-Jun-17,Retail,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
N.A.,989 Serangoon Road,90,Land,2030000,22682,2107,28-Jun-17,Shop House,Freehold,Resale,12,32,328148,Central Region,Kallang
N.A.,359 Jalan Besar,142,Land,5230000,36831,3422,28-Jun-17,Shop House,Freehold,Resale,8,20,208992,Central Region,Kallang
SHENTON HOUSE,3 Shenton Way #24 -06,70,Strata,1221000,17443,1620,28-Jun-17,Office,99 Yrs From 02/06/1969,Resale,1,6,68805,Central Region,Downtown Core
N.A.,"175,175A Upper Paya Lebar Road",129,Land,2300000,17829,1656,28-Jun-17,Shop House,Freehold,Resale,19,53,534863,Central Region,Toa Payoh
N.A.,908B Upper Thomson Road,118,Strata,2600000,22034,2047,28-Jun-17,Shop House,Freehold,Resale,26,78,787111,North Region,Yishun
WOODS SQUARE,12 Woodlands Square #05 -67,52,Strata,980000,18846,1751,27-Jun-17,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #04 -04,116,Strata,2000000,17241,1602,23-Jun-17,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
N.A.,"63,63A Brighton Crescent",149,Land,2880000,19303,1793,23-Jun-17,Shop House,Freehold,Resale,19,55,559210,North East Region,Serangoon
FAR EAST PLAZA,14 Scotts Road #04 -30,26,Strata,1200000,46154,4288,23-Jun-17,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
N.A.,18 Upper Dickson Road,61,Land,1750000,28830,2678,23-Jun-17,Shop House,N.A.,Resale,8,20,207477,Central Region,Rochor
N.A.,586 Serangoon Road,137,Land,5475000,39876,3705,22-Jun-17,Shop House,Freehold,Resale,8,21,218200,Central Region,Kallang
N.A.,20 Upper Dickson Road,57,Land,1850000,32743,3042,21-Jun-17,Shop House,N.A.,Resale,8,20,207479,Central Region,Rochor
PENINSULA PLAZA,111 North Bridge Road #07 -14,41,Strata,1015000,24756,2300,21-Jun-17,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
