Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SUNTEC CITY,9 Temasek Boulevard #15 -02A,326,Strata,8000000,24540,2280,22-Feb-19,Office,99 Yrs From 01/03/1989,Resale,1,3,38989,Central Region,Downtown Core
N.A.,29 Stanley Street,157,Land,22099999,140496,13052,21-Feb-19,Shop House,99 Yrs From 17/12/1990,Resale,1,6,68738,Central Region,Outram
INTERNATIONAL PLAZA,10 Anson Road #15 -14,43,Strata,960000,22326,2074,21-Feb-19,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street #01 -24,38,Strata,700000,18421,1711,20-Feb-19,Retail,99 Yrs From 19/10/1979,Resale,1,5,59804,Central Region,Outram
CITIGATE RESIDENCE,168 Rangoon Road #01 -03,64,Strata,1380000,21563,2003,19-Feb-19,Retail,Freehold,Resale,8,21,218437,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road #B1 -55,30,Strata,370000,12333,1146,19-Feb-19,Retail,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
MERA EAST,338 Changi Road #01 -06,61,Strata,1380000,22623,2102,19-Feb-19,Retail,Freehold,Resale,14,41,419977,East Region,Bedok
N.A.,71 Neil Road,252,Land,16300000,64811,6021,18-Feb-19,Shop House,99 Yrs From 04/07/1989,Resale,2,8,88900,Central Region,Outram
HIGH STREET PLAZA,77 High Street #05 -10,45,Strata,1151920,25598,2378,18-Feb-19,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
CONCORDE SHOPPING CENTRE,317 Outram Road #02 -52,20,Strata,312000,15600,1449,15-Feb-19,Office,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
PAYA LEBAR SQUARE,60 Paya Lebar Road #08 -11,51,Strata,1134888,22253,2067,14-Feb-19,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
WOODS SQUARE,10 Woodlands Square #04 -41,96,Strata,1981900,20645,1918,14-Feb-19,Office,99 Yrs From 15/07/2014,New Sale,25,73,737714,North Region,Woodlands
TONG ENG BUILDING,101 Cecil Street #16 -06,56,Strata,1560000,27857,2588,13-Feb-19,Office,999 Yrs From 08/06/1885,Resale,1,6,69533,Central Region,Downtown Core
THE PLAZA,7500A Beach Road #15 -301,122,Strata,1429000,11713,1088,12-Feb-19,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
NEWEST,1 West Coast Drive #01 -22,64,Strata,2900000,45313,4210,11-Feb-19,Retail,956 Yrs From 27/05/1928,Resale,5,12,128020,West Region,Clementi
CHINATOWN POINT,"133 New Bridge Road #25 -01,02",218,Strata,4458407,20451,1900,11-Feb-19,Office,99 Yrs From 12/11/1980,Resale,1,5,59413,Central Region,Outram
